PM Vidyalaxmi Institutes (All),,,,
(As on Date:  9-12-2025  4:33:26),,,,
S. No.,AISHE Code,Institute Name,State Name,Management Type
76,C-29341,"Chandigarh College of Architecture, Sector-12",Chandigarh,State Government
77,C-29440,Goswami Ganesh Dutta S.D. College,Chandigarh,Private
78,C-29284,Govt Home Science College,Chandigarh,State Government
79,C-29442,Govt. Medical College & Hospital,Chandigarh,State Government
80,S-18386,INDO SWISS TRAINING CENTRE,Chandigarh,Central Government
81,U-1332,National Institute of Technical Teacher Training & Research Chandigarh,Chandigarh,Central Government
82,U-0078,Panjab University,Chandigarh,State Government
83,U-0079,Post Graduate Institute of Medical Education and Research,Chandigarh,Central Government
84,U-0080,"Punjab Engineering College (Deemed to be University), Chandigarh",Chandigarh,State Government
85,U-0690,All India Institute of Medical Sciences Raipur,Chhattisgarh,Central Government
86,C-59735,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING & TECHNOLOGY (CIPET) - RAIPUR,Chhattisgarh,Central Government
87,S-18127,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY KORBA,Chhattisgarh,Central Government
88,U-0085,Guru Ghasidas Vishwavidyalaya,Chhattisgarh,Central Government
89,U-1017,Indian Institute of Management Raipur,Chhattisgarh,Central Government
90,U-0946,Indian Institute of Technology Bhilai,Chhattisgarh,Central Government
91,U-0087,Indira Gandhi Krishi Vishwavidyalaya,Chhattisgarh,State Government
92,U-0092,"National Institute of Technology, Raipur",Chhattisgarh,Central Government
93,U-0093,Pt. Ravishankar Shukla University,Chhattisgarh,State Government
94,C-6380,Acharya Narendra Dev College,Delhi,State Government
95,C-60556,All India Institute of Ayurveda,Delhi,Central Government
96,U-0096,All India Institute of Medical Sciences Delhi,Delhi,Central Government
97,C-6396,Aryabhatta College,Delhi,State Government
98,C-22462,Atma Ram Sanatan Dharm College,Delhi,Central Government
99,C-6387,Bhaskaracharya College of Applied Sciences,Delhi,State Government
100,U-0115,Central Sanskrit University,Delhi,Central Government
101,C-60280,"College of Nursing,  Army Hospital (RR)",Delhi,Central Government
102,C-32834,"College of Nursing,Dr. Ram Manohar Lohia Hospital",Delhi,Central Government
103,C-32925,"College of Nursing,Safdarjang Hospital",Delhi,Central Government
104,C-6367,Daulat Ram College,Delhi,State Government
105,C-6361,Deen Dayal Upadhyaya College,Delhi,State Government
106,C-6376,Delhi College of Arts and Commerce,Delhi,State Government
107,U-0853,Delhi Pharmaceutical Sciences and Research University,Delhi,State Government
108,U-0098,Delhi Technological University,Delhi,State Government
109,C-6409,Deshbandhu College,Delhi,Central Government
110,C-6432,Dyal Singh College,Delhi,State Government
111,C-27613,Dyal Singh College (Evening),Delhi,Central Government
112,C-32907,ESIC Dental College,Delhi,Central Government
113,S-62,Fore School of Management,Delhi,Private
114,C-6429,Gargi College,Delhi,Central Government
115,U-0099,Guru Gobind Singh Indraprastha University,Delhi,State Government
116,C-6425,Hans Raj College,Delhi,Central Government
117,C-6377,Hindu College,Delhi,State Government
118,U-0101,Indian Agricultural Research Institute,Delhi,Central Government
119,U-0102,Indian Institute of Foreign Trade,Delhi,Central Government
120,U-1340,"INDIAN INSTITUTE OF MASS COMMUNICATION, NEW DELHI",Delhi,Central Government
121,U-0100,Indian Institute of Technology Delhi,Delhi,Central Government
122,U-0103,Indian Law Institute,Delhi,Central Government
123,S-21107,INDIAN SIGN LANGUAGE RESEARCH AND TRAINING CENTRE,Delhi,Central Government
124,U-0685,Indira Gandhi Delhi Technical University for Women,Delhi,State Government
125,U-0104,Indira Gandhi National Open University (IGNOU),Delhi,Central Government
126,C-6365,Indraprastha College for Women,Delhi,State Government
127,U-0105,Indraprastha Institute of Information Technology,Delhi,State Government
128,U-0106,Institute of Liver and Biliary Sciences,Delhi,State Government
129,S-17631,International Management Institute,Delhi,Private
130,S-782,Jagan Institute of Management Studies Technical Campus,Delhi,Private
131,U-0107,Jamia Hamdard,Delhi,Private
132,U-0108,Jamia Millia Islamia,Delhi,Central Government
133,U-0109,Jawaharlal Nehru University,Delhi,Central Government
134,C-6420,Jesus & Mary College,Delhi,Private
135,C-6402,Kalindi College,Delhi,Central Government
136,C-6417,Kamala Nehru College,Delhi,State Government
137,C-6381,Keshav Mahavidyalya,Delhi,Central Government
138,C-6385,Kirori Mal College,Delhi,Central Government
139,C-22461,Lady Hardinge Medical College,Delhi,Central Government
140,C-27608,Lady Irwin College,Delhi,State Government
141,C-6415,Lady Shri Ram College for Women,Delhi,Private
142,C-6412,Maharaja Agrasen College,Delhi,State Government
143,C-6391,Maitreyi College,Delhi,State Government
144,C-6424,Mata Sundri College for Women,Delhi,State Government
145,C-28507,Maulana Azad Institute of Dental Sciences,Delhi,State Government
146,C-6414,Maulana Azad Medical College,Delhi,State Government
147,C-6355,Miranda House,Delhi,Central Government
148,U-1187,National Forensic Sciences University,Delhi,Central Government
149,U-0114,National Institute of Educational Planning & Administration,Delhi,Central Government
150,U-0110,"National Institute of Fashion Technology, Hauz Khas",Delhi,Central Government
151,U-0622,National Institute of Technology Delhi,Delhi,Central Government
152,U-0111,National Law University,Delhi,State Government
153,U-0112,National Museum Institute of History of Art Conservation and Museology,Delhi,Central Government
154,U-1056,Netaji Subhas University of Technology (NSUT),Delhi,State Government
155,C-32887,New Delhi Institute of Management,Delhi,Private
156,C-6405,Rajdhani College,Delhi,State Government
157,C-6431,Ramanujan College,Delhi,Central Government
158,C-6416,Satyawati College,Delhi,State Government
159,U-0116,School of Planning and Architecture New Delhi,Delhi,Central Government
160,C-6421,Shaheed Bhagat Singh College,Delhi,State Government
161,C-6401,Shaheed Bhagat Singh College (Evening),Delhi,State Government
162,C-6426,Shaheed Rajguru College of Applied Sciences for Women,Delhi,State Government
163,C-6411,Shaheed Sukhdev College of Business Studies,Delhi,State Government
164,C-6366,Shivaji College,Delhi,Central Government
165,U-0117,Shri Lal Bahadur Shastri National Sanskrit University,Delhi,Central Government
166,C-6419,Shri Ram College of Commerce,Delhi,Central Government
167,C-6372,Shyama Prasad Mukherji College for Women,Delhi,Central Government
168,U-0118,"South Asian University, New Delhi",Delhi,Central Government
169,C-6362,Sri Aurobindo College,Delhi,Central Government
170,C-22465,Sri Aurobindo College (Eve.),Delhi,Central Government
171,C-6413,Sri Guru Gobind Singh College of Commerce,Delhi,State Government
172,C-6353,Sri Guru Tegh Bahadur Khalsa College,Delhi,State Government
173,C-6369,Sri Venkateswara College,Delhi,Central Government
174,C-22470,St. Stephens s College,Delhi,Private
175,C-6404,Swami Shraddhanand College,Delhi,Central Government
